,user_id,created_time,object_type,url,page_type
282,1,Mon Jun 11 19:32:36 2018,NaN,group-events/22,events
283,1,Mon Jun 11 19:32:49 2018,5.0,event-detail/5384/,event page
284,1,Mon Jun 11 19:32:49 2018,2.0,event-detail/5384/,group page
285,1,Mon Jun 11 19:32:50 2018,NaN,event-entry/5384,event entry
286,1,Mon Jun 11 19:33:03 2018,5.0,event-detail/5384,event page
287,1,Mon Jun 11 19:33:03 2018,2.0,event-detail/5384,group page
288,1,Mon Jun 11 19:33:05 2018,NaN,group-news/22,group news
289,1,Mon Jun 11 19:33:25 2018,NaN,notification,notification
290,1,Mon Jun 11 19:33:27 2018,NaN,content-notification,content_notif
291,1,Mon Jun 11 19:33:34 2018,NaN,group-notification,group notification
292,1,Mon Jun 11 19:33:46 2018,NaN,notification,notification
293,1,Mon Jun 11 19:33:49 2018,NaN,main-home,main home
294,1,Mon Jun 11 19:34:09 2018,3.0,discussions-about/29778/0/,discussion page
295,1,Mon Jun 11 19:34:09 2018,2.0,discussions-about/29778/0/,group page
296,1,Mon Jun 11 19:35:06 2018,NaN,group-news/1813,group news
297,1,Mon Jun 11 19:35:10 2018,9.0,announcement-detail/29813/0,announcement
298,1,Mon Jun 11 19:35:17 2018,NaN,group-news/1813,group news
299,1,Mon Jun 11 19:53:47 2018,NaN,main-home,main home
300,1,Mon Jun 11 20:09:28 2018,NaN,group-news/1813,group news
301,1,Mon Jun 11 20:09:29 2018,2.0,group-news/1813,group page
302,1,Tue Jun 12 01:05:31 2018,NaN,group-home/22,group home
303,1,Tue Jun 12 01:05:32 2018,2.0,group-home/22,group page
304,1,Tue Jun 12 01:56:55 2018,NaN,notification,notification
305,1,Tue Jun 12 01:56:58 2018,NaN,group-notification,group notification
306,1,Tue Jun 12 01:57:04 2018,NaN,content-notification,content_notif
307,1,Tue Jun 12 01:57:29 2018,5.0,event-detail/5387,event page
308,1,Tue Jun 12 01:57:29 2018,2.0,event-detail/5387,group page
309,1,Tue Jun 12 01:57:36 2018,NaN,content-notification,content_notif
310,1,Tue Jun 12 01:57:38 2018,5.0,event-detail/5386,event page
311,1,Tue Jun 12 01:57:39 2018,2.0,event-detail/5386,group page
312,1,Tue Jun 12 01:57:43 2018,NaN,content-notification,content_notif
